Depot_ID,Vehicle_ID,Vehicle_Type,Capacity,Route,Distance,Cost
1,1,1.0,50.0,0 -> 2 -> 24 -> 20 -> 30 -> 0,89.75,89.75
1,2,1.0,50.0,0 -> 10 -> 14 -> 22 -> 0,47.22,47.22
2,1,4.0,60.0,0 -> 6 -> 1 -> 15 -> 8 -> 13 -> 28 -> 0,56.5,62.16
2,2,4.0,60.0,0 -> 3 -> 18 -> 5 -> 12 -> 29 -> 0,83.76,92.13
2,3,4.0,60.0,0 -> 11 -> 0,14.56,16.02
3,1,7.0,40.0,0 -> 9 -> 27 -> 16 -> 25 -> 26 -> 0,74.37,66.93
3,2,7.0,40.0,0 -> 4 -> 19 -> 23 -> 17 -> 0,56.92,51.23
3,3,8.0,90.0,0 -> 21 -> 7 -> 0,27.87,36.23
