Method,Mean_Cost,Var_Cost,Std_Cost,Mean_Distance,Var_Distance,Std_Distance,Mean_Routes
Improved5 ACO,465.8341574,20.928406953553363,4.574757584129826,453.83881920000005,16.58499391752372,4.072467792079358,8.0
Improved3 ACO,466.16907760000004,115.09486394981252,10.728227437457342,454.3864176,92.13870569789177,9.598890857692453,8.0
Improved ACO,468.33963299999994,17.682366901991625,4.205040654023647,456.8720848,17.798430070553202,4.218818563360268,8.0
