Method,Repeat,Seed,Total_Cost,Total_Distance,Route_Count
Improved6.2 DBO-MACS-ACO,1,101,469.2599364886088,456.284803435782,8
Improved6.2 DBO-MACS-ACO,2,202,467.4307995027308,454.6219516304384,8
Improved6.2 DBO-MACS-ACO,3,303,472.1173300133388,458.88243391280935,8
Improved6.2 DBO-MACS-ACO,4,404,474.23731278515265,461.26525572295805,8
Improved6.2 DBO-MACS-ACO,5,505,467.9271955735808,455.0732207857566,8
