Route_ID,Depot_ID,Vehicle_Type,Vehicle_No,Capacity,Load,Distance,Fixed_Cost,Variable_Cost,Total_Cost,Finish_Time,Route,Timeline
1,3,7,1,40.0,23.0,53.85,80.0,48.47,48.47,19.4,Depot 3 -> 25 -> 16 -> Depot 3,25@18.0 | 16@18.62
2,2,4,1,60.0,39.0,47.05,120.0,51.76,51.76,15.57,Depot 2 -> 28 -> 13 -> 15 -> 8 -> Depot 2,28@9.0 | 13@13.0 | 15@13.66 | 8@14.74
3,3,7,2,40.0,37.0,53.21,80.0,47.89,47.89,17.01,Depot 3 -> 4 -> 14 -> 30 -> 22 -> Depot 3,4@9.0 | 14@15.0 | 30@15.64 | 22@16.32
4,2,4,2,60.0,51.0,97.38,120.0,107.12,107.12,16.39,Depot 2 -> 3 -> 18 -> 12 -> 23 -> 20 -> Depot 2,3@9.0 | 18@13.3 | 12@14.0 | 23@14.77 | 20@15.34
5,1,1,1,50.0,48.0,82.16,100.0,82.16,82.16,18.47,Depot 1 -> 2 -> 24 -> 9 -> 27 -> 19 -> Depot 1,2@8.62 | 24@11.0 | 9@12.15 | 27@17.0 | 19@17.64
6,3,8,1,90.0,55.0,33.07,180.0,42.99,42.99,16.76,Depot 3 -> 7 -> 21 -> 17 -> Depot 3,7@9.3 | 21@10.04 | 17@16.0
7,2,4,3,60.0,40.0,43.41,120.0,47.75,47.75,15.58,Depot 2 -> 6 -> 1 -> 11 -> 29 -> Depot 2,6@8.0 | 1@9.13 | 11@13.0 | 29@15.0
8,1,1,2,50.0,18.0,79.59,100.0,79.59,79.59,20.11,Depot 1 -> 5 -> 26 -> Depot 1,5@10.0 | 26@19.0
9,1,1,3,50.0,17.0,15.23,100.0,15.23,15.23,8.75,Depot 1 -> 10 -> Depot 1,10@8.13
