Depot_ID,Vehicle_ID,Vehicle_Type,Capacity,Route,Distance,Cost
1,1,1.0,50.0,0 -> 2 -> 24 -> 20 -> 30 -> 0,89.75,89.75
1,2,1.0,50.0,0 -> 10 -> 14 -> 22 -> 0,47.22,47.22
2,1,4.0,60.0,0 -> 1 -> 3 -> 15 -> 8 -> 13 -> 28 -> 11 -> 0,65.46,72.0
2,2,4.0,60.0,0 -> 6 -> 18 -> 5 -> 12 -> 0,79.29,87.21
2,3,4.0,60.0,0 -> 29 -> 0,10.2,11.22
3,1,7.0,40.0,0 -> 9 -> 27 -> 16 -> 25 -> 26 -> 0,74.37,66.93
3,2,7.0,40.0,0 -> 4 -> 19 -> 23 -> 17 -> 0,56.92,51.23
3,3,8.0,90.0,0 -> 21 -> 7 -> 0,27.87,36.23
