Route_ID,Depot_ID,Vehicle_Type,Vehicle_No,Capacity,Load,Distance,Fixed_Cost,Variable_Cost,Total_Cost,Finish_Time,Route,Timeline
1,3,7,2,40.0,39.0,38.1,80.0,34.29,34.29,14.85,Depot 3 -> 7 -> 4 -> 11 -> 28 -> 13 -> Depot 3,7@9.3 | 4@9.83 | 11@13.0 | 28@13.62 | 13@14.13
2,1,1,1,50.0,50.0,67.01,100.0,67.01,67.01,14.0,Depot 1 -> 10 -> 1 -> 15 -> 8 -> Depot 1,10@8.13 | 1@9.03 | 15@12.0 | 8@13.07
3,2,4,2,60.0,60.0,101.56,120.0,111.72,111.72,17.49,Depot 2 -> 18 -> 5 -> 12 -> 20 -> 23 -> 19 -> Depot 2,18@13.3 | 5@13.99 | 12@14.54 | 20@15.38 | 23@15.95 | 19@16.63
4,2,4,3,60.0,60.0,94.64,120.0,104.11,104.11,13.09,Depot 2 -> 6 -> 3 -> 2 -> 24 -> 9 -> Depot 2,6@8.0 | 3@9.15 | 2@10.1 | 24@11.0 | 9@12.15
5,1,1,3,50.0,40.0,61.19,100.0,61.19,61.19,17.89,Depot 1 -> 29 -> 21 -> 16 -> 27 -> Depot 1,29@15.0 | 21@15.77 | 16@16.42 | 27@17.0
6,3,7,1,40.0,35.0,53.57,80.0,48.21,48.21,16.51,Depot 3 -> 22 -> 14 -> 30 -> Depot 3,22@10.0 | 14@15.0 | 30@15.64
7,3,8,1,90.0,44.0,65.16,180.0,84.71,84.71,20.08,Depot 3 -> 17 -> 25 -> 26 -> Depot 3,17@16.0 | 25@18.0 | 26@19.0
